yearstate,electionyear,stateabbreviation,democratcandidatevotes,republicancandidatevotes,othercandidatevotes,totalvotes,percentdemocrat,percentrepublican,percentother,firstplace,secondplace,competivness
2000-AK,2000,AK,124376,358260,77317,559953,0.22,0.6398,0.1381,0.6398,0.22,0.4198
2000-AL,2000,AL,1178271,1790402,136593,3105266,0.38,0.5766,0.044,0.5766,0.38,0.1966
2000-AR,2000,AR,778134,750086,26326,1554546,0.5,0.4825,0.0169,0.5,0.4825,0.0175
2000-AZ,2000,AZ,1243190,2744563,406995,4394748,0.28,0.6245,0.0926,0.6245,0.28,0.3445
2000-CA,2000,CA,17200888,12900577,1925670,32027135,0.54,0.4028,0.0601,0.54,0.4028,0.1372
2000-CO,2000,CO,1234272,1852399,278579,3365250,0.37,0.5504,0.0828,0.5504,0.37,0.1804
2000-CT,2000,CT,2344154,1604001,136121,4084276,0.57,0.3927,0.0333,0.57,0.3927,0.1773
2000-DC,2000,DC,330747,28331,18447,377525,0.88,0.075,0.0489,0.88,0.075,0.805
2000-DE,2000,DE,458122,491976,17712,967810,0.47,0.5083,0.0183,0.5083,0.47,0.0383
2000-FL,2000,FL,7877929,8469761,483523,16831213,0.47,0.5032,0.0287,0.5032,0.47,0.0332
2000-GA,2000,GA,2034315,2918057,2489567,7441939,0.27,0.3921,0.3345,0.3921,0.3345,0.0576
2000-HI,2000,HI,677874,333441,42683,1053998,0.64,0.3164,0.0405,0.64,0.3164,0.3236
2000-IA,2000,IA,1170159,1351695,69643,2591497,0.45,0.5216,0.0269,0.5216,0.45,0.0716
2000-ID,2000,ID,280982,669592,43882,994456,0.28,0.6733,0.0441,0.6733,0.28,0.3933
2000-IL,2000,IL,5042700,3926727,166048,9135475,0.55,0.4298,0.0182,0.55,0.4298,0.1202
2000-IN,2000,IN,2538420,3814334,148501,6501255,0.39,0.5867,0.0228,0.5867,0.39,0.1967
2000-KS,2000,KS,727470,1280310,102817,2110597,0.34,0.6066,0.0487,0.6066,0.34,0.2666
2000-KY,2000,KY,1200650,1697407,81539,2979596,0.4,0.5697,0.0274,0.5697,0.4,0.1697
2000-LA,2000,LA,1152012,1674986,140829,2967827,0.39,0.5644,0.0475,0.5644,0.39,0.1744
2000-MA,2000,MA,5473923,1556341,619515,7649779,0.72,0.2034,0.081,0.72,0.2034,0.5166
2000-MD,2000,MD,3436652,2385281,77209,5899142,0.58,0.4043,0.0131,0.58,0.4043,0.1757
2000-ME,2000,ME,939740,927742,57606,1925088,0.49,0.4819,0.0299,0.49,0.4819,0.0081
2000-MI,2000,MI,6410048,5734823,325051,12469922,0.51,0.4599,0.0261,0.51,0.4599,0.0501
2000-MN,2000,MN,3584023,3150504,487416,7221943,0.5,0.4362,0.0675,0.5,0.4362,0.0638
